"",DS-2CE16C2T-IR 2.8,DS-2CE16C0T-IT3 16MM
Grado de Protección,,,,
Antivandálica,IK10,IK10,IK10,IK10
Soporte Pared,DS-1473ZJ-155B,DS-1473ZJ-155,DS-1273ZJ-140-DM45,DS-1473ZJ-155
Soporte Base,No,No,DS-1280ZJ-DM45,No
Soporte Techo,No,No,No,No
"",DS-1275ZJ-SUS,,,
Soporte Poste,,DS-1475ZJ-SUS,DS-1275ZJ-SUS(Black),DS-1475ZJ-SUS
"",DS-1475ZJ-SUS,,,
"",DS-1276ZJ-SUS,,,
Soporte Esquina,,DS-1476ZJ-SUS,DS-1276ZJ-SUS(Black),DS-1476ZJ-SUS
"",DS-1476ZJ-SUS,,,
Soporte Empotrado,No,No,No,No
"",12 Vdc,,12 Vdc,
Alimentación,,12 Vdc / PoE 802.3af,,12 Vdc / PoE 802.3af
"",PoE 802.3af,,PoE 802.3af,
Alto x Ancho x Profundo,,,,
"(cm)",15.20 x 15.50 x 15.50,13.31 x 15.33 x 15.33,11.20 x 14.10 x 14.10,15.50 x 15.50 x 15.20
Peso (kg),1.60,0.83,0.82,1.52
Disponibilidad,C,C,C,C
"",DS-2CD3356G2-,DS-2CD2563G2-,DS-2CD2163G2-,DS-2CD2763G2-IZS(2.8
"",ISU(2.8MM),I(2.8MM),I(2.8MM),12MM)
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,5 Mpx,6 Mpx,6 Mpx,6 Mpx
Tecnología de Vídeo,IP,IP,IP,IP
Tipo de Óptica,Fija,Fija,Fija,Motorizada
Distancia Focal,"2,8 mm","2,8 mm","2,8 mm","2,8 - 12 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes
LEDs,40 m IR,30 m IR,30 m IR,40 m IR
Luz Blanca,;,;,;,;
WDR,120 dB,120 dB,120 dB,120 dB
Iluminación Mínima,0.003lux,0.005lux,0.005lux,0.005lux
"",,Hombre / Vehículo,Hombre / Vehículo,Hombre / Vehículo
"",,VCA,VCA,VCA
Análisis de Video,No,Detección Perimetral,Detección Perimetral,Detección Perimetral
"",,Detección de Movimiento,Detección de Movimiento,Detección de Movimiento
"",,Detección de Rostros,Detección de Rostros,Detección de Rostros
Entradas/Salidas de,,,,
Alarma,1e/1s,;,;,1e/1s
Entrada/Salida Audio,1e/1s,;,;,1e/1s
Slot SD,Micro SD (512 GB),Micro SD (512 GB),Micro SD (256 GB),Micro SD (256 GB)
WIFI,;,;,;,;
Exterior,IP67,IP67,IP67,IP67
Grado de Protección,,,,
Antivandálica,;,IK08,IK10,IK10
Soporte Pared,No,DS-1272ZJ-120,DS-1272ZJ-110,DS-1473ZJ-155
Soporte Base,DS-1280ZJ-PT6,DS-1280ZJ-DM46,DS-1280ZJ-DM18,DS-1280ZJ-DM55
Soporte Techo,No,No,No,No
Soporte Poste,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1475ZJ-SUS
Soporte Esquina,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1476ZJ-SUS
Soporte Empotrado,No,No,No,DS-1227ZJ-DM44
"",12 Vdc,,,
Alimentación,,12 Vdc / PoE 802.3af,12 Vdc / PoE 802.3af,12 Vdc / PoE 802.3af
"",PoE 802.3af,,,
Alto x Ancho x Profundo,,,,
"(cm)",13.83 x 13.83 x 12.45,11.00 x 11.00 x 5.74,11.08 x 11.08 x 8.47,15.33 x 15.33 x 11.16
Peso (kg),0.82,0.38,0.52,0.89
Disponibilidad,P,C,C,A
"",,,,DS-2CD2186G2H-,
"",DS-2CD2385FWD-,DS-2CD2386G2-,DS-2CD2183G2-,,DS-2CD2187G3-
"",,,,ISU(2.8MM)(EF)-,
"",I(2.8MM),ISU-SL(2.8MM)(C),IU(2.8MM),,LIS2UY(2.8MM)
"",,,,BLACK,
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,8 Mpx,8 Mpx,8 Mpx,8 Mpx,8 Mpx
Tecnología de Vídeo,IP,IP,IP,IP,IP
Tipo de Óptica,Fija,Fija,Fija,Fija,Fija
Distancia Focal,"2,8 mm","2,8 mm","2,8 mm","2,8 mm","2,8 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes,3 ejes
LEDs,30 m IR,30 m IR,30 m IR,30 m IR,30 m IR
Luz Blanca,;,;,;,;,;
WDR,120 dB,120 dB,120 dB,130 dB,130 dB
Iluminación Mínima,0.01lux,0.003lux,0.005lux,0.0008 lux,0.0005lux
"",,,Hombre / Vehículo,,
"",,,,Hombre / Vehículo,
"",,,VCA,,
"",,Hombre / Vehículo,,Objetos que aparecen,
"",,,Detección Perimetral,,Hombre / Vehículo
Análisis de Video,No,VCA,,o entran en la zona de,
"",,,Detección de,,Cruce de Linea
"",,Detección de Rostros,,interés,
"",,,Movimiento,,
"",,,,Cruce de Linea,
"",,,Detección de Rostros,,
Entradas/Salidas de,,,,,
Alarma,;,1e/1s,;,1e/1s,1e/1s
"",,,,,Micrófono Integrado
Entrada/Salida Audio,;,1e/1s,Micrófono Integrado,1e/1s,
"",,,,,/ 1e/1s
Slot SD,Micro SD (128 GB),Micro SD (512 GB),Micro SD (256 GB),Micro SD (512 GB),Micro SD (512 GB)
WIFI,;,;,;,;,;
Exterior,IP67,IP67,IP67,IP67,IP67
Grado de Protección,,,,,
Antivandálica,;,;,IK10,IK10,IK10
Soporte Pared,DS-1273ZJ-130-TRL,DS-1273ZJ-140,DS-1272ZJ-120,DS-1272ZJ-120,DS-1272ZJ-120
Soporte Base,DS-1280ZJ-DM8,DS-1280ZJ-PT6,DS-1280ZJ-DM46,DS-1280ZJ-DM46,DS-1280ZJ-DM46
Soporte Techo,No,No,No,No,No
"",,,,DS-1275ZJ-,
Soporte Poste,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,,DS-1275ZJ-SUS
"",,,,SUS(Black),
"",,,,DS-1276ZJ-,
Soporte Esquina,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS,,DS-1276ZJ-SUS
"",,,,SUS(Black),
Soporte Empotrado,No,No,No,No,No
"",12 Vdc,,,12 Vdc,12 Vdc
Alimentación,,12 Vdc / PoE 802.3af,12 Vdc / PoE 802.3af,,
"",PoE 802.3af,,,PoE 802.3af,PoE 802.3af
Alto x Ancho x,,,,,
Profundo (cm),9.50 x 12.70 x 12.70,13.80 x 13.80 x 12.45,12.14 x 12.14 x 9.22,9.70 x 12.10 x 12.10,9.70 x 12.10 x 12.10
Peso (kg),0.72,0.84,0.55,0.53,0.60
Disponibilidad,C,C,B,C,C
"",,DS-2CD2786G2-,,,
"",DS-2CD2783G2-,,DS-2CD2786G2HT-,IDS-2CD7186G0-H-,DS-2CD3786G2-
"",,IZS(2.8-12MM),,,
"",IZS(2.8-12MM),,IZS(2.8-12MM)(EF),IZHSY(2.8-12MM),IZS(2.7-13.5MM)
"",,BLACK,,,
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,8 Mpx,8 Mpx,8 Mpx,8 Mpx,8 Mpx
Tecnología de Vídeo,IP,IP,IP,IP,IP
Tipo de Óptica,Motorizada,Motorizada,Motorizada,Motorizada,Motorizada
Distancia Focal,"2,8 - 12 mm","2,8 - 12 mm","2,8 - 12 mm","2,8 - 12 mm","2,7 - 13,5 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes,3 ejes
LEDs,40 m IR,40 m IR,40 m IR,40 m IR,40 m IR
Luz Blanca,;,;,;,;,;
WDR,120 dB,120 dB,120 dB,120 dB,120 dB
Iluminación Mínima,0.005lux,0.003lux,0.0008 lux,0.002lux,0.003lux
"",Hombre / Vehículo,,,,
"",VCA,,,,
"",Detección Perimetral,,,Detección de,
Análisis de Video,,No,Hombre / Vehículo,,No
"",Detección de,,,Movimiento,
"",Movimiento,,,,
"",Detección de Rostros,,,,
Entradas/Salidas de,,,,,
Alarma,1e/1s,1e/1s,1e/1s,2e/2s,1e/1s
Entrada/Salida Audio,1e/1s,1e/1s,1e/1s,1e/1s,1e/1s
Slot SD,Micro SD (256 GB),Micro SD (512 GB),Micro SD (512 GB),Micro SD (256 GB),Micro SD (512 GB)
WIFI,;,;,;,;,;
Exterior,IP67,IP66,IP67,IP67,IP66
Grado de Protección,,,,,
Antivandálica,IK10,IK10,IK10,IK10,IK10
"",,DS-1473ZJ-155B,,,DS-1473ZJ-155B
Soporte Pared,DS-1473ZJ-155,,DS-1273ZJ-140-DM45,No,
"",,DS-1473ZJ-155,,,DS-1473ZJ-155
Soporte Base,DS-1280ZJ-DM55,No,No,No,No
Soporte Techo,No,No,No,No,No
"",,,,,DS-1275ZJ-SUS
Soporte Poste,DS-1475ZJ-SUS,DS-1475ZJ-SUS,No,DS-1475ZJ-SUS,
"",,,,,DS-1475ZJ-SUS
"",,,,DS-1476ZJ-Y,DS-1276ZJ-SUS
Soporte Esquina,DS-1476ZJ-SUS,DS-1476ZJ-SUS,DS-1276ZJ-SUS,,
"",,,,DS-1476ZJ-SUS,DS-1476ZJ-SUS
Soporte Empotrado,DS-1227ZJ-DM44,DS-1227ZJ-DM37,No,No,No
"",,12 Vdc,12 Vdc,12 - 24 Vdc,12 Vdc
Alimentación,12 Vdc / PoE 802.3af,,,,
"",,PoE 802.3af,PoE 802.3af,PoE+ 802.3at,PoE 802.3af
Alto x Ancho x,,,,,
Profundo (cm),15.35 x 15.35 x 13.32,13.10 x 15.30 x 24.40,11.20 x 14.10 x 14.10,11.40 x 14.40 x 14.40,15.35 x 15.35 x 13.31
Peso (kg),1.08,1.08,0.84,0.95,0.81
Disponibilidad,C,C,B,P,P
"",DS-2CD2387G3-LIS2UY-,DS-2CD3387G2P-LSU-,DS-2CD2387G2P-LSU-
"",SL(2.8MM),SL(4MM),SL(4MM)
Tipo de Cámara,Minidomo,Minidomo,Minidomo
Resolución,8 Mpx,8 Mpx,8 Mpx
Tecnología de Vídeo,IP,IP,IP
Tipo de Óptica,Fija,Fija,Fija
Distancia Focal,"2,8 mm",Pano 180o,Pano 180o
"Ángulo de Ajuste",3 ejes,3 ejes,2 ejes
LEDs,30 m IR,;,;
Luz Blanca,30m,40m,30m
WDR,130 dB,130 dB,130 dB
Iluminación Mínima,0.0005lux,0.0005lux,0.0005lux
"",,Hombre / Vehículo,
"",Hombre / Vehículo,VCA,
Análisis de Video,,,Hombre / Vehículo
"",Cruce de Linea,Detección Perimetral,
"",,Detección de Movimiento,
Entradas/Salidas de Alarma,1e/1s,1e/1s,1e/1s
Entrada/Salida Audio,Micrófono Integrado / 1e/1s,Micrófono / Altavoz Integrado,1e/1s
Slot SD,Micro SD (512 GB),Micro SD (256 GB),Micro SD (512 GB)
WIFI,;,;,;
Exterior,IP67,IP67,IP67
Grado de Protección,,,
Antivandálica,;,;,;
Soporte Pared,DS-1273ZJ-140,DS-1473ZJ-155,DS-1473ZJ-155B
Soporte Base,DS-1280ZJ-PT6,No,No
Soporte Techo,DS-1280ZJ-XS,No,DS-1471ZJ-155
"",DS-1275ZJ-SUS+DS-12 73ZJ-,,
Soporte Poste,,No,No
"",140B+DS-1280ZJ -PT6,,
"",DS-1276ZJ-SUS+DS-22 00ZJ-,,
Soporte Esquina,,No,No
"",WAJ-140+DS-12 53ZJ-L,,
Soporte Empotrado,No,No,No
"",12 Vdc,,
Alimentación,,12 Vdc / PoE 802.3af,12 Vdc / PoE 802.3af
"",PoE 802.3af,,
Alto x Ancho x Profundo (cm),11.50 x 13.80 x 13.80,15.50 x 15.50 x 15.50,15.50 x 15.50 x 15.50
Peso (kg),0.82,1.11,1.10
Disponibilidad,C,P,A
"",DS-2CD2955G0-,,DS-2CD6365G0E-,,DS-2CD63C5G0E-
"",,DS-2CD6365G1-IVS,,DS-2CD63C5G1-IVS,
"",ISU(105MM),,S-RC(1.27MM),,S-RC(2MM)
Tipo de Cámara,Fisheye,Fisheye,Fisheye,Fisheye,Fisheye
Resolución,5 Mpx,6 Mpx,6 Mpx,12 Mpx,12 Mpx
Tecnología de Vídeo,IP,IP,IP,IP,IP
Tipo de Óptica,Fija,Fija,Fija,Fija,Fija
Distancia Focal,"1,05 mm",1.16 mm,"1,27 mm","1,29 mm","2,0 mm"
"Ángulo de Ajuste",3 ejes,;,;,;,3 ejes
LEDs,8 m IR,15 m IR,;,15 m IR,;
Luz Blanca,;,;,;,;,;
WDR,128 dB,Digital WDR,Digital WDR,Digital WDR,Digital WDR
Iluminación Mínima,0.017 lux,0.01lux,0.01lux,0.03lux,0.06 lux
"",,,VCA,,
"",,,,Mapa Calor,
Análisis de Video,No,Detección Perimetral,Detección de,,No
"",,,,Conteo de Personas,
"",,,Movimiento,,
Entradas/Salidas de,,,,,
Alarma,1e/1s,2e/2s,;,2e/2s,1e/1s
Entrada/Salida Audio,1e/1s,1e/1s,Micrófono Integrado,1e/1s,1e/1s
Slot SD,Micro SD (256 GB),Micro SD (256 GB),Micro SD (256 GB),Micro SD (256 GB),Micro SD (256 GB)
WIFI,;,;,;,;,;
Exterior,;,IP67,;,IP67,;
Grado de Protección,,,,,
Antivandálica,;,IK10,;,IK10,;
Soporte Pared,DS-1294ZJ,DS-1273ZJ-140,No,DS-1273ZJ-140,DS-1273ZJ-DM25
Soporte Base,No,No,No,No,DS-1280ZJ-DM25
Soporte Techo,No,No,No,No,No
Soporte Poste,No,DS-1275ZJ-SUS,No,DS-1275ZJ-SUS,DS-1275ZJ-SUS
Soporte Esquina,No,DS-1276ZJ-SUS,No,DS-1276ZJ-SUS,DS-1276ZJ-SUS
Soporte Empotrado,No,No,No,No,No
"",,,,,12 Vdc
Alimentación,12 Vdc / PoE 802.3af,12 Vdc / PoE 802.3af,12 Vdc / PoE 802.3af,12 Vdc / PoE 802.3af,
"",,,,,PoE 802.3af
Alto x Ancho x,,,,,
Profundo (cm),4.12 x 15.00 x 15.00,5.90 x 14.00 x 14.00,6.90 x 16.50 x 16.50,5.94 x 8.35 x 8.35,16.50 x 16.50 x 6.70
Peso (kg),0.32,1.40,0.48,0.72,0.48
Disponibilidad,A,P,P,P,P
"",DS-2CD6425G1-10(3.7MM)8M,DS-2CD2D25G1-M-D-NF(2.8MM)
Tipo de Cámara,Pinhole,Cámara Oculta
Resolución,2 Mpx,2 Mpx
Tecnología de Vídeo,IP,IP
Tipo de Óptica,Fija,Fija
Distancia Focal,"3,7 mm","2,8 mm"
"Ángulo de Ajuste",3 ejes,3 ejes
LEDs,;,;
Luz Blanca,;,;
WDR,120 dB,120 dB
Iluminación Mínima,0.002lux,0.002lux
"",VCA,VCA
Análisis de Video,,
"",Detección de Movimiento,Detección de Movimiento
Entradas/Salidas de Alarma,1e/1s,;
Entrada/Salida Audio,1e/1s,1e/1s
Slot SD,Micro SD (256 GB),;
WIFI,;,;
Exterior,;,;
Grado de Protección Antivandálica,;,;
Soporte Pared,No,No
Soporte Base,No,No
Soporte Techo,No,No
Soporte Poste,No,No
Soporte Esquina,No,No
Soporte Empotrado,No,No
Alimentación,12 Vdc / PoE 802.3af,12 Vdc
Alto x Ancho x Profundo (cm),10.00 x 13.90 x 21.90,3.15 x 3.15 x 4.96
Peso (kg),0.09,0.09
Disponibilidad,B,C
"",DS-,DS-2DE2A204IW-,DS-2DE4A225IW-,,DS-2DE7A232IW-
"",,,,DS-2DE4225IW-DE,
"",2DE4A225IWG-E,DE3,DE,,AEB
Aumentos,x25,x4,x25,x25,x32
Resolución,2 Mpx,2 Mpx,2 Mpx,2 Mpx,2 Mpx
LEDs,50 m IR,20 m IR,50 m IR,100 m IR,200 m IR
Tecnología de Vídeo,IP,IP,IP,IP,IP
Giro Continuo,;,;,;,;,;
WDR,120 dB,120 dB,120 dB,120 dB,120 dB
"",,,,,VCA
"",VCA,VCA,,,
"",,,VCA,VCA,Detección Perimetral
"",Detección de,Detección de,,,
Análisis de Video,,,Detección de,Detección de,Detección de
"",Movimiento,Movimiento,,,
"",,,Movimiento,Movimiento,Movimiento
"",Detección de Rostros,Detección de Rostros,,,
"",,,,,Detección de Rostros
Entradas/Salidas de,,,,,
Alarma,2e/2s,;,2e/2s,1e/1s,2e/1s
Exterior,IP66,IP66,IP66,IP66,IP66
Grado de Protección,,,,,
Antivandálica,;,IK10,;,;,IK10
Wiper,;,;,;,;,;
Anticorrosión,;,;,;,;,;
Slot SD,Micro SD (256 GB),Micro SD (256 GB),Micro SD (256 GB),Micro SD (256 GB),Micro SD (256 GB)
"",,,,,DS-1604ZJ
Soporte Pared,DS-1605ZJ,DS-1294ZJ-PT,DS-1605ZJ,DS-1618ZJ,
"",,,,,DS-1602ZJ
Soporte Base,DS-1280ZJ-SD11,No,DS-1280ZJ-SD11,No,No
Soporte Techo,No,DS-1297ZJ,DS-1671ZJ-SD11,DS-1661ZJ,DS-1661ZJ
Soporte Poste,No,No,DS-1275ZJ-SUS,DS-1604ZJ-POLE,DS-1604ZJ-POLE
Soporte Esquina,No,No,DS-1276ZJ-SUS,DS-1604ZJ-CORNER,DS-1604ZJ-CORNER
Soporte Empotrado,No,No,No,No,No
Soporte Suspendido,No,No,No,No,No
"",,,,,24 Vac
Alimentación,12 Vdc / PoE + 802.3at,12 Vdc / PoE 802.3af,12 Vdc / PoE + 802.3at,12 Vdc / PoE + 802.3at,
"",,,,,Hi-PoE 802.3bt
Alto x Ancho x,,,,,
Profundo (cm),16.10 x 16.90 x 16.90,13.00 x 13.00 x 10.17,16.10 x 16.90 x 16.90,29.00 x 16.45 x 16.45,22.00 x 22.00 x 36.33
Peso (kg),2.45,0.53,2.45,2.00,5.00
Disponibilidad,B,B,C,A,A+
"",DS-2CV2Q21G1-IDW(4MM),DS-2DF8C260I5XG-ELW
Tipo de Cámara,Minidomo,Domo PTZ
Resolución,2 Mpx,2 Mpx
Tecnología de Vídeo,IP,IP
Tipo de Óptica,Fija,Motorizada
Distancia Focal,"4,0 mm",6 - 360 mm
"Ángulo de Ajuste",3 ejes,3 ejes
LEDs,10 m IR,500 m IR
Luz Blanca,;,;
WDR,Digital WDR,140 dB
Iluminación Mínima,0.05lux,0.002lux
"",,LPR
"",,Hombre / Vehículo
"",,Clasificación Tipo de Vehículo
"",,Detección Perimetral
Análisis de Video,Detección de Movimiento,
"",,Módulo Análisis y Comparación de Imágenes
"",,Faciales
"",,Clasificación Color de Vehículo
"",,Detección de Rostros
Entradas/Salidas de Alarma,;,7e/2s
Entrada/Salida Audio,Micrófono / Altavoz Integrado,1e/1s
Slot SD,Micro SD (512 GB),Micro SD (256 GB)
WIFI,;,;
Exterior,;,IP67
Grado de Protección Antivandálica,;,IK10
Soporte Pared,No,DS-1603ZJ-P
Soporte Base,No,No
Soporte Techo,No,No
"",,DS-1603ZJ-Pole-P
Soporte Poste,No,
"",,DS-1673ZJ-P
Soporte Esquina,No,No
Soporte Empotrado,No,No
"",,24 Vac
Alimentación,5 Vdc,
"",,Hi-PoE 802.3bt
Alto x Ancho x Profundo (cm),12.20 x 8.80 x 7.90,43.00 x 26.70 x 26.70
Peso (kg),0.22,9.60
Disponibilidad,C,P
"",DS-2DE2A404IW-,,,
"",,DS-2DE4A425IWG-E,DS-2DE4425IW-DE,DS-2DE5425IW-AE
"",DE3(C0)(S6),,,
Aumentos,x4,x25,x25,x25
Resolución,4 Mpx,4 Mpx,4 Mpx,4 Mpx
LEDs,20 m IR,50 m IR,100 m IR,150 m IR
Tecnología de Vídeo,IP,IP,IP,IP
Giro Continuo,;,;,;,;
WDR,120 dB,120 dB,120 dB,120 dB
"",,,,Hombre / Vehículo
"",VCA,VCA,,Detección Perimetral
"",,,VCA,
Análisis de Video,Detección de Movimiento,Detección de Movimiento,,Análisis de Comportamiento
"",,,Detección de Movimiento,
"",Detección de Rostros,Detección de Rostros,,Detección de Movimiento
"",,,,Detección de Rostros
Entradas/Salidas de,,,,
Alarma,;,2e/2s,1e/1s,2e/1s
Exterior,IP66,IP66,IP66,IP66
Grado de Protección,,,,
Antivandálica,IK10,;,;,;
Wiper,;,;,;,;
Anticorrosión,;,;,;,;
Slot SD,Micro SD (256 GB),Micro SD (256 GB),Micro SD (256 GB),Micro SD (256 GB)
Soporte Pared,DS-1294ZJ-PT,DS-1605ZJ,DS-1618ZJ,No
Soporte Base,No,DS-1280ZJ-SD11,No,No
Soporte Techo,DS-1297ZJ,No,DS-1661ZJ,No
Soporte Poste,No,No,DS-1604ZJ-POLE,DS-1604ZJ-POLE
Soporte Esquina,No,No,DS-1602ZJ-Corner,DS-1602ZJ-Corner
Soporte Empotrado,No,No,No,No
Soporte Suspendido,No,No,No,No
Alimentación,12 Vdc / PoE 802.3af,12 Vdc / PoE + 802.3at,12 Vdc / PoE + 802.3at,24 Vac / Hi-PoE 802.3bt
Alto x Ancho x Profundo,,,,
"(cm)",10.17 x 13.07 x 13.07,16.90 x 16.90 x 16.10,29.00 x 16.45 x 16.45,20.80 x 20.80 x 34.50
Peso (kg),0.53,2.45,2.00,3.30
Disponibilidad,A,B,A+,A
"",,DS-2SE4C425MWG-,,
"",DS-2DF8425IX-AEL,,DS-2DE7A432IW-AEB,DS-2DF6A436X-AEL
"",,E(14F0),,
Aumentos,x25,x25,x32,x36
Resolución,4 Mpx,4 Mpx,4 Mpx,4 Mpx
LEDs,;,100 m IR,200 m IR,;
"",,,,IP
Tecnología de Vídeo,IP,IP,IP,
"",,,,BNC
Giro Continuo,;,;,;,;
WDR,140 dB,120 dB,120 dB,140 dB
"",,,Hombre / Vehículo,
"",,,VCA,
"",,VCA,,VCA
Análisis de Video,Hombre / Vehículo,,Detección Perimetral,
"",,Detección de Humanos,,Detección de Movimiento
"",,,Detección de Movimiento,
"",,,Detección de Rostros,
Entradas/Salidas de,,,,
Alarma,7e/2s,1e/1s,2e/1s,7e/2s
Exterior,IP67,IP66,IP66,IP67
Grado de Protección,,,,
Antivandálica,IK10,;,IK10,IK10
Wiper,;,;,;,;
Anticorrosión,;,;,;,;
Slot SD,Micro SD (256 GB),Micro SD (256 GB),Micro SD (256 GB),Micro SD (256 GB)
"",,DS-1604ZJ,,
Soporte Pared,No,,DS-1602ZJ,DS-1604ZJ-P
"",,DS-1602ZJ,,
Soporte Base,No,No,No,No
Soporte Techo,No,No,DS-1661ZJ,DS-1663ZJ-P
Soporte Poste,No,DS-1673ZJ,DS-1673ZJ,DS-1673ZJ-P
Soporte Esquina,DS-1604ZJ-CORNER,DS-1604ZJ-CORNER,DS-1602ZJ-Corner,DS-1604ZJ-CORNER-P
Soporte Empotrado,No,No,No,No
Soporte Suspendido,No,DS-1661ZJ,No,DS-1662ZJ-P
"",,12 Vdc,,
Alimentación,24 Vac / Hi-PoE 802.3bt,,24 Vac / Hi-PoE 802.3bt,24 Vac / Hi-PoE 802.3bt
"",,PoE+ 802.3at,,
Alto x Ancho x Profundo,,,,
"(cm)",41.00 x 26.60 x 26.60,37.50 x 16.60 x 18.20,22.00 x 22.00 x 36.33,23.11 x 23.11 x 35.56
Peso (kg),8.00,2.40,5.00,6.00
Disponibilidad,P,C,A,P
"",DS-2DE7A632IWG-EB,DS-2DE7A825IW-AEB,DS-2DF8C842IXS-AELW
Aumentos,x32,x25,x42
Resolución,6 Mpx,8 Mpx,8 Mpx
LEDs,200 m IR,200 m IR,500 m IR
"",,,IP
Tecnología de Vídeo,IP,IP,
"",,,BNC
Giro Continuo,;,;,;
WDR,Digital WDR,120 dB,120 dB
"",,Hombre / Vehículo,LPR
"",,VCA,Hombre / Vehículo
Análisis de Video,No,Conteo de Personas,Clasificación Tipo de Vehículo
"",,Detección de Movimiento,Detección Perimetral
"",,Detección de Rostros,Clasificación Color de Vehículo
Entradas/Salidas de Alarma,2e/1s,2e/1s,7e/2s
Exterior,IP67,IP66,IP67
Grado de Protección,,,
Antivandálica,IK10,IK10,IK10
Wiper,;,;,;
Anticorrosión,;,;,;
Slot SD,Micro SD (256 GB),Micro SD (256 GB),Micro SD (256 GB)
Soporte Pared,DS-1604ZJ,DS-1602ZJ,DS-1604ZJ-P
Soporte Base,DS-1674ZJ,No,No
Soporte Techo,DS-1663ZJ,DS-1661ZJ,DS-1667ZJ-P
Soporte Poste,DS-1673ZJ,DS-1673ZJ,DS-1604ZJ-POLE-P
Soporte Esquina,DS-1604ZJ-CORNER,DS-1602ZJ-Corner,DS-1604ZJ-CORNER-P
Soporte Empotrado,DS-1663ZJ,No,No
Soporte Suspendido,DS-1661ZJ,No,No
"",36 Vdc,,
Alimentación,,24 Vac / Hi-PoE 802.3bt,24 Vac / Hi-PoE 802.3bt
"",Hi-PoE 802.3bt,,
Alto x Ancho x Profundo (cm),36.30 x 22.00 x 22.00,22.00 x 22.00 x 36.33,43.00 x 26.70 x 26.70
Peso (kg),5.00,5.00,9.60
Disponibilidad,C,B,P
"",DS-,DS-,,DS-,DS-,DS-
"",,,DS-2CD6D44G1-,,,
"",2CD6D24FWD-,2CD6D52G0-,,2CD6D54G2-,2CD6924G0-,2CD6984G0-
"",,,IZS(2.8-8MM),,,
"",IZHS(2.8-12MM),IHS(2.8MM),,IZHS(2.8-8MM),IHS(6MM),IHS(2.8MM)
Resolución,8 Mpx,10 Mpx,16 Mpx,20 Mpx,32 Mpx,32 Mpx
"Ángulo",,,,,,
Visualización,360o,180o,360o,360o,180o,180o
No Sensores,4,2,4,4,4,4
Distancia Focal,"2,8 - 12 mm","2,8 mm","2,8 - 12 mm","2,8 - 8 mm",6 mm,"2,8 mm"
LEDs,30 m IR,10 m IR,30 m IR,30 m IR,20 m IR,20 m IR
"",Detección de,,,Hombre / Vehículo,,
"",Rostros,VCA,,Objetos que entran,,
"",,,Detección de,,,
Análisis de Video,Objeto,Detección de,,en la zona de,No,No
"",,,Movimiento,,,
"",abandonado,Movimiento,,interés,,
"",Cruce de Linea,,,Cruce de Linea,,
Giro Continuo PTZ,-,-,;,;,;,-
Grado de,,,,,,
Protección,IK10,IK10,IK10,IK10,IK10,IK10
Antivandálica,,,,,,
Entrada/Salida,,,,,,
Audio,1e/1s,-,-,-,-,-
Tecnología de,,,,,,
Vídeo,IP,IP,IP,IP,IP,IP
Entradas/Salidas,,,,,,
de Alarma,2e/2s,1e/1s,2e/2s,2e/2s,2e/2s,2e/2s
Stitching,;,;,;,;,;,;
Tecnología Cámara,IP,IP,IP,IP,IP,IP
Tipo de Cámara,Multisensor,Dual,Multisensor,Multisensor,Multisensor,Multisensor
Tipo de Óptica,Motorizada,Fija,Motorizada,Motorizada,Fija,Fija
WDR,120 dB,120 dB,120 dB,120 dB,Digital WDR,Digital WDR
"",,,,DS-1604ZJ,,
Soporte Pared,No,No,No,,DS-1602ZJ,DS-1602ZJ
"",,,,DS-1602ZJ,,
Soporte Techo,DS-1663ZJ,No,No,DS-1663ZJ,No,No
Soporte Poste,No,No,No,DS-1673ZJ,No,No
"",DS-1604ZJ-,,,DS-1604ZJ-,,
Soporte Esquina,,No,No,,No,No
"",CORNER,,,CORNER,,
Soporte,,,,,,
Empotrado,No,No,No,No,No,No
"",,12 Vdc / PoE,,12 Vdc,12 Vdc,12 Vdc / PoE +
Alimentación,12 Vdc / 24 Vac,,12 Vdc / 24 Vac,,,
"",,802.3af,,PoE+ 802.3at,PoE+ 802.3at,802.3at
Alto x Ancho x,29.00 x 29.00 x,,11.40 x 25.00 x,14.80 x 29.00 x,,20.70 x 20.80 x
Profundo (cm),14.55,6.74 x 8.46 x 16.43,25.00,29.00,- x - x -,19.00
Peso (kg),4.70,0.77,2.20,4.70,3.00,3.50
Disponibilidad,P,C,P,P,P,P
"",Descripción Corta,Disponibilidad
AC POWER,,
CABLE-EUROPEN,,
"",Cable de alimentación AC europeo para inyector PoE,A
STANDARD-C13-,,
1.5M,,
