"",DS-2CE16C2T-IR 2.8,DS-2CE16C0T-IT3 16MM
Soporte Poste,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,No,DS-1275ZJ-SUS,DS-1275ZJ-SUS
Soporte Esquina,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS,No,DS-1276ZJ-SUS,DS-1276ZJ-SUS
Soporte,,,,,,
Empotrado,No,No,No,No,No,No
Alimentación,12 Vdc,12 Vdc,12 Vdc,12 Vdc,12 Vdc / 24 Vac,12 Vdc
Alto x Ancho x,,,,,,
"",,,,,DS-2CE59H8T-,DS-2CE79H0T-
"",DS-2CE72HFT-,DS-2CE76H0T-,DS-2CE76H8T-,DS-2CE56H1T-,,
"",,,,,AVPIT3ZF(2.7-,IT3ZF(2.7-
"",F28(2.8MM),ITMF(2.8MM)(C),ITMF(2.8MM),IT3E(3.6MM),,
"",,,,,13.5MM),13.5MM)
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,5 Mpx,5 Mpx,5 Mpx,5 Mpx,5 Mpx,5 Mpx
"",HD - TVI,HD - TVI,HD - TVI,,HD - TVI,HD - TVI
Tecnología de,AHD,AHD,AHD,,AHD,AHD
Vídeo,CVBS,CVBS,CVBS,TVI,CVBS,CVBS
"",HD - CVI,HD - CVI,HD - CVI,,HD - CVI,HD - CVI
Tipo de Óptica,Fija,Fija,Fija,Fija,Motorizada,Motorizada
Distancia Focal,"2,8 mm","2,8 mm","2,8 mm","3,6 mm","2,7 - 13,5 mm","2,7 - 13,5 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes,3 ejes,3 ejes
LEDs,;,30 m IR,30 m IR,40 m IR,60 m IR,40 m IR
Luz Blanca,20m,;,;,;,;,;
WDR,130 dB,Digital WDR,130 dB,Digital WDR,130 dB,Digital WDR
Iluminación Mínima,0.005lux,0.01lux,0.003lux,0.01lux,0.003lux,0.01lux
"",Detección de,,Detección de,,Detección de,
Análisis de Video,,No,,No,,No
"",Movimiento,,Movimiento,,Movimiento,
Entradas/Salidas,,,,,,
de Alarma,;,;,;,;,;,;
